"country","budget","year","value"
"Germany","agriculture",2000,106.4838
"United States of America","agriculture",2000,143.9051
"India","agriculture",2000,20.5933
"South Africa","agriculture",2000,8.4066
"Germany","education",2000,1211.526
"United States of America","education",2000,212.2144
"India","education",2000,9.2598
"South Africa","education",2000,75.3089
"Germany","health",2000,1977.5972
"United States of America","health",2000,609.85
"India","health",2000,5.7403
"South Africa","health",2000,50.6676
"Germany","defense",2000,337.3686
"United States of America","defense",2000,1161.894
"India","defense",2000,53.747
"South Africa","defense",2000,125.7786
"Germany","transport and communication",2000,522.9504
"United States of America","transport and communication",2000,184.9357
"India","transport and communication",2000,4.8435
"South Africa","transport and communication",2000,41.1252
"Germany","social protection",2000,6272.9282
"United States of America","social protection",2000,3581.0457
"India","social protection",2000,5.1336
"South Africa","social protection",2000,5.3453
"Germany","mining",2000,86.0902
"United States of America","mining",2000,0
"India","mining",2000,8.7999
"South Africa","mining",2000,4.2616
"Germany","other",2000,21.2387
"United States of America","other",2000,16.5326
"India","other",2000,70.4183
"South Africa","other",2000,85.3491
"Germany","agriculture",2001,104.4896
"United States of America","agriculture",2001,100.2645
"India","agriculture",2001,18.9617
"South Africa","agriculture",2001,8.669
"Germany","education",2001,1257.4731
"United States of America","education",2001,218.0595
"India","education",2001,8.6771
"South Africa","education",2001,73.0956
"Germany","health",2001,2036.8273
"United States of America","health",2001,657.8107
"India","health",2001,6.9844
"South Africa","health",2001,48.4069
"Germany","defense",2001,333.4743
"United States of America","defense",2001,1163.8651
"India","defense",2001,56.1257
"South Africa","defense",2001,137.0351
"Germany","transport and communication",2001,539.1432
"United States of America","transport and communication",2001,207.9498
"India","transport and communication",2001,2.6656
"South Africa","transport and communication",2001,99.1617
"Germany","social protection",2001,6347.814
"United States of America","social protection",2001,3685.9751
"India","social protection",2001,4.745
"South Africa","social protection",2001,10.1906
"Germany","mining",2001,84.9158
"United States of America","mining",2001,0
"India","mining",2001,10.1081
"South Africa","mining",2001,19.2343
"Germany","other",2001,25.0535
"United States of America","other",2001,15.1917
"India","other",2001,71.2803
"South Africa","other",2001,81.779
"Germany","agriculture",2002,92.4026
"United States of America","agriculture",2002,81.8423
"India","agriculture",2002,16.6399
"South Africa","agriculture",2002,12.5987
"Germany","education",2002,1264.0162
"United States of America","education",2002,262.9311
"India","education",2002,9.2925
"South Africa","education",2002,72.4271
"Germany","health",2002,2080.7585
"United States of America","health",2002,732.1539
"India","health",2002,6.3295
"South Africa","health",2002,52.4586
"Germany","defense",2002,334.7467
"United States of America","defense",2002,1298.3578
"India","defense",2002,54.8099
"South Africa","defense",2002,148.6124
"Germany","transport and communication",2002,527.7717
"United States of America","transport and communication",2002,230.3917
"India","transport and communication",2002,6.3853
"South Africa","transport and communication",2002,98.2336
"Germany","social protection",2002,6420.5615
"United States of America","social protection",2002,3914.136
"India","social protection",2002,3.5072
"South Africa","social protection",2002,13.725
"Germany","mining",2002,86.4503
"United States of America","mining",2002,0
"India","mining",2002,11.1999
"South Africa","mining",2002,222.1797
"Germany","other",2002,24.9988
"United States of America","other",2002,12.9839
"India","other",2002,73.0606
"South Africa","other",2002,71.0588
"Germany","agriculture",2003,89.1869
"United States of America","agriculture",2003,81.4454
"India","agriculture",2003,16.4335
"South Africa","agriculture",2003,14.7148
"Germany","education",2003,1258.2777
"United States of America","education",2003,299.0013
"India","education",2003,9.0114
"South Africa","education",2003,74.3256
"Germany","health",2003,2102.5432
"United States of America","health",2003,794.8351
"India","health",2003,7.1052
"South Africa","health",2003,42.7181
"Germany","defense",2003,324.9652
"United States of America","defense",2003,1465.3516
"India","defense",2003,56.2286
"South Africa","defense",2003,140.7347
"Germany","transport and communication",2003,508.0994
"United States of America","transport and communication",2003,242.8193
"India","transport and communication",2003,9.7373
"South Africa","transport and communication",2003,50.7787
"Germany","social protection",2003,6524.7861
"United States of America","social protection",2003,4039.4304
"India","social protection",2003,5.2276
"South Africa","social protection",2003,12.4398
"Germany","mining",2003,89.747
"United States of America","mining",2003,0
"India","mining",2003,12.1835
"South Africa","mining",2003,270.1301
"Germany","other",2003,24.8395
"United States of America","other",2003,11.4697
"India","other",2003,71.1757
"South Africa","other",2003,73.1466
"Germany","agriculture",2004,86.6557
"United States of America","agriculture",2004,53.9251
"India","agriculture",2004,20.1189
"South Africa","agriculture",2004,8.9762
"Germany","education",2004,1251.8011
"United States of America","education",2004,307.2744
"India","education",2004,11.0144
"South Africa","education",2004,77.7093
"Germany","health",2004,2011.9073
"United States of America","health",2004,838.6949
"India","health",2004,7.8496
"South Africa","health",2004,44.3882
"Germany","defense",2004,318.7989
"United States of America","defense",2004,1592.1274
"India","defense",2004,64.3593
"South Africa","defense",2004,188.1626
"Germany","transport and communication",2004,480.0671
"United States of America","transport and communication",2004,225.7283
"India","transport and communication",2004,12.1468
"South Africa","transport and communication",2004,63.7945
"Germany","social protection",2004,6483.5356
"United States of America","social protection",2004,4043.6445
"India","social protection",2004,5.4059
"South Africa","social protection",2004,11.9333
"Germany","mining",2004,88.1784
"United States of America","mining",2004,0
"India","mining",2004,1.2073
"South Africa","mining",2004,303.7737
"Germany","other",2004,24.7359
"United States of America","other",2004,11.8252
"India","other",2004,70.7491
"South Africa","other",2004,70.314
"Germany","agriculture",2005,82.4213
"United States of America","agriculture",2005,89.0947
"India","agriculture",2005,22.7119
"South Africa","agriculture",2005,20.2342
"Germany","education",2005,1255.0336
"United States of America","education",2005,327.1837
"India","education",2005,14.6452
"South Africa","education",2005,80.7532
"Germany","health",2005,2054.6169
"United States of America","health",2005,840.2976
"India","health",2005,7.3069
"South Africa","health",2005,45.9948
"Germany","defense",2005,318.2647
"United States of America","defense",2005,1661.1832
"India","defense",2005,64.5875
"South Africa","defense",2005,208.958
"Germany","transport and communication",2005,489.8498
"United States of America","transport and communication",2005,227.7055
"India","transport and communication",2005,14.6238
"South Africa","transport and communication",2005,90.5495
"Germany","social protection",2005,6529.3115
"United States of America","social protection",2005,4151.7505
"India","social protection",2005,7.107
"South Africa","social protection",2005,13.0572
"Germany","mining",2005,88.7509
"United States of America","mining",2005,0
"India","mining",2005,1.4095
"South Africa","mining",2005,327.4228
"Germany","other",2005,24.3624
"United States of America","other",2005,11.9815
"India","other",2005,70.9997
"South Africa","other",2005,68.2361
"Germany","agriculture",2006,78.8257
"United States of America","agriculture",2006,83.7185
