"Country.Name","Indicator.Name","group","year","value"
"Germany","Adolescent fertility rate (x/1000)","health & well-being",2000,12.6676
"Germany","Consumer price index (2010 = 100)","economy",2000,85.6988
"Germany","Health expenditure (% of GDP)","health & well-being",2000,9.8882
"Germany","Death rate (x/1000)","health & well-being",2000,10.2
"Germany","Exports as a capacity to import","economy",2000,676095846034.984
"Germany","Final consumption expenditure (% of GDP)","economy",2000,75.3438
"Germany","FDI, net inflows (% of GDP)","economy",2000,12.7632
"Germany","GDP growth (annual %)","economy",2000,2.9125
"Germany","Government final consumption (%)","governance",2000,19.0445
"Germany","Gini index","inequality",2000,28.8
"Germany","Gross domestic savings (% of GDP)","economy",2000,24.6562
"Germany","Income share of top 20%","inequality",2000,37.7
"Germany","Income share of bottom 20%","inequality",2000,8.8
"Germany","Inflation (annual %)","economy",2000,1.4403
"Germany","Labor force participation rate (%)","economy",2000,71.56
"Germany","Life expectancy at brith (years)","health & well-being",2000,77.9268
"Germany","Market cap of domestic companies (%)","economy",2000,65.3705
"Germany","Mortality rate under-5 (x/1000)","health & well-being",2000,5.4
"Germany","Suicide mortality rate (x/100,000)","health & well-being",2000,14.5
"Germany","Tax revenue (%)","governance",2000,11.705
"Germany","Unemployment total (%)","economy",2000,7.92
"Germany","Unemployment youth total (%)","economy",2000,8.54
"Germany","Vulnerable employment (%))","economy",2000,5.84
"India","Adolescent fertility rate (x/1000)","health & well-being",2000,66.837
"India","Consumer price index (2010 = 100)","economy",2000,54.3383
"India","Health expenditure (% of GDP)","health & well-being",2000,4.0349
"India","Death rate (x/1000)","health & well-being",2000,8.692
"India","Exports as a capacity to import","economy",2000,5346504064089.09
"India","Final consumption expenditure (% of GDP)","economy",2000,75.6868
"India","FDI, net inflows (% of GDP)","economy",2000,0.7652
"India","GDP growth (annual %)","economy",2000,3.841
"India","Government final consumption (%)","governance",2000,11.9478
"India","Gross domestic savings (% of GDP)","economy",2000,24.3132
"India","Inflation (annual %)","economy",2000,4.0094
"India","Labor force participation rate (%)","economy",2000,59.66
"India","Life expectancy at brith (years)","health & well-being",2000,62.505
"India","Market cap of domestic companies (%)","economy",2000,48.1748
"India","Mortality rate under-5 (x/1000)","health & well-being",2000,91.8
"India","Real interest rate (%)","economy",2000,8.3426
"India","Suicide mortality rate (x/100,000)","health & well-being",2000,17
"India","Tax revenue (%)","governance",2000,8.8101
"India","Total reserves (% of external debt)","governance",2000,40.5997
"India","Unemployment total (%)","economy",2000,5.75
"India","Unemployment youth total (%)","economy",2000,17.98
"India","Vulnerable employment (%))","economy",2000,83.72
"South Africa","Adolescent fertility rate (x/1000)","health & well-being",2000,70.2842
"South Africa","Consumer price index (2010 = 100)","economy",2000,59.8988
"South Africa","Health expenditure (% of GDP)","health & well-being",2000,7.4374
"South Africa","Death rate (x/1000)","health & well-being",2000,12.107
"South Africa","Exports as a capacity to import","economy",2000,474506713958.661
"South Africa","Final consumption expenditure (% of GDP)","economy",2000,81.497
"South Africa","FDI, net inflows (% of GDP)","economy",2000,0.7105
"South Africa","GDP growth (annual %)","economy",2000,4.2
"South Africa","Government final consumption (%)","governance",2000,18.3869
"South Africa","Gross domestic savings (% of GDP)","economy",2000,18.503
"South Africa","Inflation (annual %)","economy",2000,5.339
"South Africa","Labor force participation rate (%)","economy",2000,58.72
"South Africa","Life expectancy at brith (years)","health & well-being",2000,56.048
"South Africa","Market cap of domestic companies (%)","economy",2000,149.8225
"South Africa","Mortality rate under-5 (x/1000)","health & well-being",2000,71.1
"South Africa","Real interest rate (%)","economy",2000,5.2425
"South Africa","Suicide mortality rate (x/100,000)","health & well-being",2000,22.4
"South Africa","Tax revenue (%)","governance",2000,23.3437
"South Africa","Total reserves (% of external debt)","governance",2000,29.0276
"South Africa","Unemployment total (%)","economy",2000,29.88
"South Africa","Unemployment youth total (%)","economy",2000,52.78
"South Africa","Vulnerable employment (%))","economy",2000,10.72
"United States","Adolescent fertility rate (x/1000)","health & well-being",2000,46.1652
"United States","Consumer price index (2010 = 100)","economy",2000,78.9707
"United States","Health expenditure (% of GDP)","health & well-being",2000,12.5421
"United States","Death rate (x/1000)","health & well-being",2000,8.5
"United States","Exports as a capacity to import","economy",2000,1297733672390.89
"United States","Final consumption expenditure (% of GDP)","economy",2000,79.983
"United States","FDI, net inflows (% of GDP)","economy",2000,3.4053
"United States","GDP growth (annual %)","economy",2000,4.1275
"United States","Government final consumption (%)","governance",2000,14.026
"United States","Gini index","inequality",2000,40.1
"United States","Gross domestic savings (% of GDP)","economy",2000,20.017
"United States","Income share of top 20%","inequality",2000,45.9
"United States","Income share of bottom 20%","inequality",2000,5.5
"United States","Inflation (annual %)","economy",2000,3.3769
"United States","Labor force participation rate (%)","economy",2000,76.43
"United States","Life expectancy at brith (years)","health & well-being",2000,76.6366
"United States","Market cap of domestic companies (%)","economy",2000,147.359
"United States","Mortality rate under-5 (x/1000)","health & well-being",2000,8.4
"United States","Real interest rate (%)","economy",2000,6.8448
